year,team_id,league,city,nickname
1926,SLA,A,St.Louis,Browns
1926,WS1,A,Washington,Senators
1926,BRO,N,Brooklyn,Robins
1926,BSN,N,Boston,Braves
1926,CHN,N,Chicago,Cubs
1926,CIN,N,Cincinnati,Reds
1926,NY1,N,New York,Giants
1926,PHI,N,Philadelphia,Phillies
1926,PIT,N,Pittsburgh,Pirates
1926,SLN,N,St.Louis,Cardinals
1927,BOS,A,Boston,Red Sox
1927,CHA,A,Chicago,White Sox
1927,CLE,A,Cleveland,Indians
1927,DET,A,Detroit,Tigers
1927,NYA,A,New York,Yankees
1927,PHA,A,Philadelphia,Athletics
1927,SLA,A,St.Louis,Browns
1927,WS1,A,Washington,Senators
1927,BRO,N,Brooklyn,Robins
1927,BSN,N,Boston,Braves
1927,CHN,N,Chicago,Cubs
1927,CIN,N,Cincinnati,Reds
1927,NY1,N,New York,Giants
1927,PHI,N,Philadelphia,Phillies
1927,PIT,N,Pittsburgh,Pirates
1927,SLN,N,St.Louis,Cardinals
1928,BOS,A,Boston,Red Sox
1928,CHA,A,Chicago,White Sox
1928,CLE,A,Cleveland,Indians
1928,DET,A,Detroit,Tigers
1928,NYA,A,New York,Yankees
1928,PHA,A,Philadelphia,Athletics
1928,SLA,A,St.Louis,Browns
1928,WS1,A,Washington,Senators
1928,BRO,N,Brooklyn,Robins
1928,BSN,N,Boston,Braves
1928,CHN,N,Chicago,Cubs
1928,CIN,N,Cincinnati,Reds
1928,NY1,N,New York,Giants
1928,PHI,N,Philadelphia,Phillies
1928,PIT,N,Pittsburgh,Pirates
1928,SLN,N,St.Louis,Cardinals
1929,BOS,A,Boston,Red Sox
1929,CHA,A,Chicago,White Sox
1929,CLE,A,Cleveland,Indians
1929,DET,A,Detroit,Tigers
1929,NYA,A,New York,Yankees
1929,PHA,A,Philadelphia,Athletics
1929,SLA,A,St.Louis,Browns
1929,WS1,A,Washington,Senators
1929,BRO,N,Brooklyn,Robins
1929,BSN,N,Boston,Braves
1929,CHN,N,Chicago,Cubs
1929,CIN,N,Cincinnati,Reds
1929,NY1,N,New York,Giants
1929,PHI,N,Philadelphia,Phillies
1929,PIT,N,Pittsburgh,Pirates
1929,SLN,N,St.Louis,Cardinals
1930,BOS,A,Boston,Red Sox
1930,CHA,A,Chicago,White Sox
1930,CLE,A,Cleveland,Indians
1930,DET,A,Detroit,Tigers
1930,NYA,A,New York,Yankees
1930,PHA,A,Philadelphia,Athletics
1930,SLA,A,St.Louis,Browns
1930,WS1,A,Washington,Senators
1930,BRO,N,Brooklyn,Robins
1930,BSN,N,Boston,Braves
1930,CHN,N,Chicago,Cubs
1930,CIN,N,Cincinnati,Reds
1930,NY1,N,New York,Giants
1930,PHI,N,Philadelphia,Phillies
1930,PIT,N,Pittsburgh,Pirates
1930,SLN,N,St.Louis,Cardinals
1931,BOS,A,Boston,Red Sox
1931,CHA,A,Chicago,White Sox
1931,CLE,A,Cleveland,Indians
1931,DET,A,Detroit,Tigers
1931,NYA,A,New York,Yankees
1931,PHA,A,Philadelphia,Athletics
1931,SLA,A,St.Louis,Browns
1931,WS1,A,Washington,Senators
1931,BRO,N,Brooklyn,Dodgers
1931,BSN,N,Boston,Braves
1931,CHN,N,Chicago,Cubs
1931,CIN,N,Cincinnati,Reds
1931,NY1,N,New York,Giants
1931,PHI,N,Philadelphia,Phillies
1931,PIT,N,Pittsburgh,Pirates
1931,SLN,N,St.Louis,Cardinals
1932,BOS,A,Boston,Red Sox
1932,CHA,A,Chicago,White Sox
1932,CLE,A,Cleveland,Indians
1932,DET,A,Detroit,Tigers
1932,NYA,A,New York,Yankees
1932,PHA,A,Philadelphia,Athletics
1932,SLA,A,St.Louis,Browns
1932,WS1,A,Washington,Senators
1932,BRO,N,Brooklyn,Dodgers
1932,BSN,N,Boston,Braves
1932,CHN,N,Chicago,Cubs
1932,CIN,N,Cincinnati,Reds
1932,NY1,N,New York,Giants
1932,PHI,N,Philadelphia,Phillies
1932,PIT,N,Pittsburgh,Pirates
1932,SLN,N,St.Louis,Cardinals
1933,BOS,A,Boston,Red Sox
1933,CHA,A,Chicago,White Sox
1933,CLE,A,Cleveland,Indians
1933,DET,A,Detroit,Tigers
1933,NYA,A,New York,Yankees
1933,PHA,A,Philadelphia,Athletics
1933,SLA,A,St.Louis,Browns
1933,WS1,A,Washington,Senators
1933,BRO,N,Brooklyn,Dodgers
1933,BSN,N,Boston,Braves
1933,CHN,N,Chicago,Cubs
1933,CIN,N,Cincinnati,Reds
1933,NY1,N,New York,Giants
1933,PHI,N,Philadelphia,Phillies
1933,PIT,N,Pittsburgh,Pirates
1933,SLN,N,St.Louis,Cardinals
1934,BOS,A,Boston,Red Sox
1934,CHA,A,Chicago,White Sox
1934,CLE,A,Cleveland,Indians
1934,DET,A,Detroit,Tigers
1934,NYA,A,New York,Yankees
1934,PHA,A,Philadelphia,Athletics
1934,SLA,A,St.Louis,Browns
1934,WS1,A,Washington,Senators
1934,BRO,N,Brooklyn,Dodgers
1934,BSN,N,Boston,Braves
1934,CHN,N,Chicago,Cubs
1934,CIN,N,Cincinnati,Reds
1934,NY1,N,New York,Giants
1934,PHI,N,Philadelphia,Phillies
1934,PIT,N,Pittsburgh,Pirates
1934,SLN,N,St.Louis,Cardinals
1935,BOS,A,Boston,Red Sox
1935,CHA,A,Chicago,White Sox
1935,CLE,A,Cleveland,Indians
1935,DET,A,Detroit,Tigers
1935,NYA,A,New York,Yankees
1935,PHA,A,Philadelphia,Athletics
1935,SLA,A,St.Louis,Browns
1935,WS1,A,Washington,Senators
1935,BRO,N,Brooklyn,Dodgers
1935,BSN,N,Boston,Braves
1935,CHN,N,Chicago,Cubs
1935,CIN,N,Cincinnati,Reds
1935,NY1,N,New York,Giants
1935,PHI,N,Philadelphia,Phillies
1935,PIT,N,Pittsburgh,Pirates
1935,SLN,N,St.Louis,Cardinals
1936,BOS,A,Boston,Red Sox
1936,CHA,A,Chicago,White Sox
1936,CLE,A,Cleveland,Indians
1936,DET,A,Detroit,Tigers
1936,NYA,A,New York,Yankees
1936,PHA,A,Philadelphia,Athletics
1936,SLA,A,St.Louis,Browns
1936,WS1,A,Washington,Senators
1936,BRO,N,Brooklyn,Dodgers
1936,BSN,N,Boston,Braves
1936,CHN,N,Chicago,Cubs
1936,CIN,N,Cincinnati,Reds
1936,NY1,N,New York,Giants
1936,PHI,N,Philadelphia,Phillies
1936,PIT,N,Pittsburgh,Pirates
1936,SLN,N,St.Louis,Cardinals
1937,BOS,A,Boston,Red Sox
1937,CHA,A,Chicago,White Sox
1937,CLE,A,Cleveland,Indians
1937,DET,A,Detroit,Tigers
1937,NYA,A,New York,Yankees
1937,PHA,A,Philadelphia,Athletics
1937,SLA,A,St.Louis,Browns
1937,WS1,A,Washington,Senators
1937,BRO,N,Brooklyn,Robins
1937,BSN,N,Boston,Bees
1937,CHN,N,Chicago,Cubs
1937,CIN,N,Cincinnati,Reds
1937,NY1,N,New York,Giants
1937,PHI,N,Philadelphia,Phillies
1937,PIT,N,Pittsburgh,Pirates
1937,SLN,N,St.Louis,Cardinals
1938,BOS,A,Boston,Red Sox
1938,CHA,A,Chicago,White Sox
1938,CLE,A,Cleveland,Indians
1938,DET,A,Detroit,Tigers
1938,NYA,A,New York,Yankees
1938,PHA,A,Philadelphia,Athletics
1938,SLA,A,St.Louis,Browns
1938,WS1,A,Washington,Senators
1938,BRO,N,Brooklyn,Dodgers
1938,BSN,N,Boston,Bees
1938,CHN,N,Chicago,Cubs
1938,CIN,N,Cincinnati,Reds
1938,NY1,N,New York,Giants
1938,PHI,N,Philadelphia,Phillies
1938,PIT,N,Pittsburgh,Pirates
1938,SLN,N,St.Louis,Cardinals
1939,BOS,A,Boston,Red Sox
1939,CHA,A,Chicago,White Sox
1939,CLE,A,Cleveland,Indians
1939,DET,A,Detroit,Tigers
1939,NYA,A,New York,Yankees
1939,PHA,A,Philadelphia,Athletics
1939,SLA,A,St.Louis,Browns
1939,WS1,A,Washington,Senators
1939,BRO,N,Brooklyn,Dodgers
1939,BSN,N,Boston,Bees
1939,CHN,N,Chicago,Cubs
1939,CIN,N,Cincinnati,Reds
1939,NY1,N,New York,Giants
1939,PHI,N,Philadelphia,Phillies
1939,PIT,N,Pittsburgh,Pirates
1939,SLN,N,St.Louis,Cardinals
1940,BOS,A,Boston,Red Sox
1940,CHA,A,Chicago,White Sox
1940,CLE,A,Cleveland,Indians
1940,DET,A,Detroit,Tigers
1940,NYA,A,New York,Yankees
1940,PHA,A,Philadelphia,Athletics
1940,SLA,A,St.Louis,Browns
1940,WS1,A,Washington,Senators
1940,BRO,N,Brooklyn,Dodgers
1940,BSN,N,Boston,Braves
1940,CHN,N,Chicago,Cubs
1940,CIN,N,Cincinnati,Reds
1940,NY1,N,New York,Giants
1940,PHI,N,Philadelphia,Phillies
1940,PIT,N,Pittsburgh,Pirates
1940,SLN,N,St.Louis,Cardinals
1941,BOS,A,Boston,Red Sox
1941,CHA,A,Chicago,White Sox
1941,CLE,A,Cleveland,Indians
1941,DET,A,Detroit,Tigers
1941,NYA,A,New York,Yankees
1941,PHA,A,Philadelphia,Athletics
1941,SLA,A,St.Louis,Browns
1941,WS1,A,Washington,Senators
1941,BRO,N,Brooklyn,Dodgers
1941,BSN,N,Boston,Braves
1941,CHN,N,Chicago,Cubs
1941,CIN,N,Cincinnati,Reds
1941,NY1,N,New York,Giants
1941,PHI,N,Philadelphia,Phillies
1941,PIT,N,Pittsburgh,Pirates
1941,SLN,N,St.Louis,Cardinals
1942,BOS,A,Boston,Red Sox
1942,CHA,A,Chicago,White Sox
1942,CLE,A,Cleveland,Indians
1942,DET,A,Detroit,Tigers
1942,NYA,A,New York,Yankees
1942,PHA,A,Philadelphia,Athletics
1942,SLA,A,St.Louis,Browns
1942,WS1,A,Washington,Senators
1942,BRO,N,Brooklyn,Dodgers
1942,BSN,N,Boston,Braves
1942,CHN,N,Chicago,Cubs
1942,CIN,N,Cincinnati,Reds
1942,NY1,N,New York,Giants
1942,PHI,N,Philadelphia,Phillies
1942,PIT,N,Pittsburgh,Pirates
1942,SLN,N,St.Louis,Cardinals
1943,BOS,A,Boston,Red Sox
1943,CHA,A,Chicago,White Sox
1943,CLE,A,Cleveland,Indians
1943,DET,A,Detroit,Tigers
1943,NYA,A,New York,Yankees
1943,PHA,A,Philadelphia,Athletics
1943,SLA,A,St.Louis,Browns
1943,WS1,A,Washington,Senators
1943,BRO,N,Brooklyn,Dodgers
1943,BSN,N,Boston,Braves
1943,CHN,N,Chicago,Cubs
1943,CIN,N,Cincinnati,Reds
1943,NY1,N,New York,Giants
1943,PHI,N,Philadelphia,Phillies
1943,PIT,N,Pittsburgh,Pirates
1943,SLN,N,St.Louis,Cardinals
1944,BOS,A,Boston,Red Sox
1944,CHA,A,Chicago,White Sox
1944,CLE,A,Cleveland,Indians
1944,DET,A,Detroit,Tigers
1944,NYA,A,New York,Yankees
1944,PHA,A,Philadelphia,Athletics
1944,SLA,A,St.Louis,Browns
1944,WS1,A,Washington,Senators
1944,BRO,N,Brooklyn,Dodgers
1944,BSN,N,Boston,Braves
1944,CHN,N,Chicago,Cubs
1944,CIN,N,Cincinnati,Reds
1944,NY1,N,New York,Giants
1944,PHI,N,Philadelphia,Phillies
1944,PIT,N,Pittsburgh,Pirates
1944,SLN,N,St.Louis,Cardinals
1945,BOS,A,Boston,Red Sox
1945,CHA,A,Chicago,White Sox
1945,CLE,A,Cleveland,Indians
1945,DET,A,Detroit,Tigers
1945,NYA,A,New York,Yankees
1945,PHA,A,Philadelphia,Athletics
1945,SLA,A,St.Louis,Browns
1945,WS1,A,Washington,Senators
1945,BRO,N,Brooklyn,Dodgers
1945,BSN,N,Boston,Braves
1945,CHN,N,Chicago,Cubs
1945,CIN,N,Cincinnati,Reds
1945,NY1,N,New York,Giants
1945,PHI,N,Philadelphia,Phillies
1945,PIT,N,Pittsburgh,Pirates
1945,SLN,N,St.Louis,Cardinals
1946,BOS,A,Boston,Red Sox
1946,CHA,A,Chicago,White Sox
1946,CLE,A,Cleveland,Indians
1946,DET,A,Detroit,Tigers
1946,NYA,A,New York,Yankees
1946,PHA,A,Philadelphia,Athletics
1946,SLA,A,St.Louis,Browns
1946,WS1,A,Washington,Senators
1946,BRO,N,Brooklyn,Dodgers
1946,BSN,N,Boston,Braves
1946,CHN,N,Chicago,Cubs
1946,CIN,N,Cincinnati,Reds
1946,NY1,N,New York,Giants
1946,PHI,N,Philadelphia,Phillies
1946,PIT,N,Pittsburgh,Pirates
1946,SLN,N,St.Louis,Cardinals
1947,BOS,A,Boston,Red Sox
1947,CHA,A,Chicago,White Sox
1947,CLE,A,Cleveland,Indians
1947,DET,A,Detroit,Tigers
1947,NYA,A,New York,Yankees
1947,PHA,A,Philadelphia,Athletics
1947,SLA,A,St.Louis,Browns
1947,WS1,A,Washington,Senators
1947,BRO,N,Brooklyn,Dodgers
1947,BSN,N,Boston,Braves
1947,CHN,N,Chicago,Cubs
1947,CIN,N,Cincinnati,Reds
1947,NY1,N,New York,Giants
1947,PHI,N,Philadelphia,Phillies
1947,PIT,N,Pittsburgh,Pirates
1947,SLN,N,St.Louis,Cardinals
1948,BOS,A,Boston,Red Sox
1948,CHA,A,Chicago,White Sox
1948,CLE,A,Cleveland,Indians
1948,DET,A,Detroit,Tigers
1948,NYA,A,New York,Yankees
1948,PHA,A,Philadelphia,Athletics
1948,SLA,A,St.Louis,Browns
1948,WS1,A,Washington,Senators
1948,BRO,N,Brooklyn,Dodgers
1948,BSN,N,Boston,Braves
1948,CHN,N,Chicago,Cubs
1948,CIN,N,Cincinnati,Reds
1948,NY1,N,New York,Giants
1948,PHI,N,Philadelphia,Phillies
1948,PIT,N,Pittsburgh,Pirates
1948,SLN,N,St.Louis,Cardinals
1949,BOS,A,Boston,Red Sox
1949,CHA,A,Chicago,White Sox
1949,CLE,A,Cleveland,Indians
1949,DET,A,Detroit,Tigers
1949,NYA,A,New York,Yankees
1949,PHA,A,Philadelphia,Athletics
1949,SLA,A,St.Louis,Browns
1949,WS1,A,Washington,Senators
1949,BRO,N,Brooklyn,Dodgers
